coverage_key,op,primitive,op_branch,op_yaml_path,class_name,dispatch_enable,dispatch_kind,dispatch_ascend,aclnn,aclnn_source,infer,pyboost,kbk,bprop,ut,st,docs_cn,docs_en,infer_evidence,pyboost_evidence,kbk_evidence,bprop_evidence,ut_evidence,st_evidence,docs_cn_evidence,docs_en_evidence
a_cos_grad::ACosGrad,a_cos_grad,ACosGrad,a_cos_grad_op.yaml,mindspore/ops/op_def/yaml/a_cos_grad_op.yaml,ACosGrad,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/a_cos_grad.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acos_grad_op.py"", ""tests/st/ops/gpu/test_acos_grad_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/a_cos_grad_doc.yaml""]"
abs::Abs,abs,Abs,abs_op.yaml,mindspore/ops/op_def/yaml/abs_op.yaml,Abs,True,auto_generate,default,"[""aclnnAbs""]",auto_generate_source,true,true,true,true,true,true,false,true,"[""mindspore/ops/infer/ops_frontend_func_impl/abs.cc"", ""mindspore/ops/infer/ops_func_impl/abs.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/abs.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_abs.cc""]","[""tests/st/ops/cpu/test_abs_op.py"", ""tests/st/ops/test_ops_abs.py""]",[],"[""mindspore/ops/op_def/yaml/doc/abs_doc.yaml""]"
abs_grad::AbsGrad,abs_grad,AbsGrad,abs_grad_op.yaml,mindspore/ops/op_def/yaml/abs_grad_op.yaml,AbsGrad,False,unsupported,,[],,true,false,false,false,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/abs_grad.h""]",[],[],[],"[""tests/ut/cpp/ops/test_ops_abs_grad.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/abs_grad_doc.yaml""]"
acos::ACos,acos,ACos,acos_op.yaml,mindspore/ops/op_def/yaml/acos_op.yaml,ACos,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acos.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acos_op.py"", ""tests/st/ops/gpu/test_acos_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acos_doc.yaml""]"
acos_ext::AcosExt,acos_ext,AcosExt,acos_ext_op.yaml,mindspore/ops/op_def/yaml/acos_ext_op.yaml,AcosExt,True,auto_generate,default,"[""aclnnAcos""]","aclnn_config,auto_generate_source",true,true,true,true,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/acos_ext.cc"", ""mindspore/ops/infer/ops_func_impl/acos_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/acos_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_acos_ext.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/acos_ext_doc.yaml""]"
acosh::Acosh,acosh,Acosh,acosh_op.yaml,mindspore/ops/op_def/yaml/acosh_op.yaml,Acosh,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acosh_op.py"", ""tests/st/ops/gpu/test_acosh_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acosh_doc.yaml""]"
acosh_ext::AcoshExt,acosh_ext,AcoshExt,acosh_ext_op.yaml,mindspore/ops/op_def/yaml/acosh_ext_op.yaml,AcoshExt,True,auto_generate,default,"[""aclnnAcosh""]","aclnn_config,auto_generate_source",true,true,true,true,true,false,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh_ext.cc"", ""mindspore/ops/infer/ops_func_impl/acosh_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/auto_generate/acosh_ext.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/auto_generate/aclnn_kernel_register_auto.cc""]","[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]","[""tests/ut/cpp/ops/test_ops_acosh_ext.cc""]",[],[],"[""mindspore/ops/op_def/yaml/doc/acosh_ext_doc.yaml""]"
acosh_grad::AcoshGrad,acosh_grad,AcoshGrad,acosh_grad_op.yaml,mindspore/ops/op_def/yaml/acosh_grad_op.yaml,AcoshGrad,False,unsupported,,[],,true,false,false,true,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/acosh_grad.h""]",[],[],"[""mindspore/ccsrc/frontend/expander/grad/grad_math_ops.cc""]",[],"[""tests/st/ops/cpu/test_acosh_grad_op.py"", ""tests/st/ops/gpu/test_acosh_grad_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/acosh_grad_doc.yaml""]"
adam_weight_decay::AdamWeightDecay,adam_weight_decay,AdamWeightDecay,adam_weight_decay_op.yaml,mindspore/ops/op_def/yaml/adam_weight_decay_op.yaml,AdamWeightDecay,False,unsupported,,[],,true,false,false,false,false,true,false,true,"[""mindspore/ops/infer/ops_func_impl/adam_weight_decay.cc"", ""mindspore/ops/infer/ops_func_impl/adam_weight_decay.h"", ""mindspore/ops/infer/symbol_ops_impl/adam_weight_decay.cc""]",[],[],[],[],"[""tests/st/ops/ascend/test_adam_weight_decay.py"", ""tests/st/ops/cpu/test_adam_weight_decay_op.py""]",[],"[""mindspore/ops/op_def/yaml/doc/adam_weight_decay_doc.yaml""]"
adamw::AdamW,adamw,AdamW,adamw_op.yaml,mindspore/ops/op_def/yaml/adamw_op.yaml,AdamW,True,customize,AdamWAscend,"[""aclnnApplyAdamWV2""]",customize_source,true,true,true,false,false,false,false,true,"[""mindspore/ops/infer/ops_func_impl/adamw.cc"", ""mindspore/ops/infer/ops_func_impl/adamw.h""]","[""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adamw.cc"", ""mindspore/ops/kernel/ascend/aclnn/pyboost_impl/customize/adamw.h""]","[""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adamw_aclnn_kernel.cc"", ""mindspore/ops/kernel/ascend/aclnn/kernel_mod_impl/customize/adamw_aclnn_kernel.h""]",[],[],[],[],"[""mindspore/ops/op_def/yaml/doc/adamw_doc.yaml""]"
