identity_key,public_api,public_surface,api_name,op_branch,op,primitive,py_method,interface,target_module,target_symbol,resolver_kind,resolver_path,source_file
mindspore.Tensor.__mod__::remainder_tensor_scalar_op.yaml,mindspore.Tensor.__mod__,mindspore.Tensor,__mod__,remainder_tensor_scalar_op.yaml,remainder_tensor_scalar,RemainderTensorScalar,deprecated_tensor_mod,tensor,mindspore.ops.api_def,__mod__,api_def_interface,mindspore/ops/api_def/__mod__.yaml,mindspore/ops/api_def/__mod__.yaml
mindspore.Tensor.__mod__::remainder_tensor_tensor_op.yaml,mindspore.Tensor.__mod__,mindspore.Tensor,__mod__,remainder_tensor_tensor_op.yaml,remainder_tensor_tensor,RemainderTensorTensor,deprecated_tensor_mod,tensor,mindspore.ops.api_def,__mod__,api_def_interface,mindspore/ops/api_def/__mod__.yaml,mindspore/ops/api_def/__mod__.yaml
mindspore.Tensor.abs::abs_op.yaml,mindspore.Tensor.abs,mindspore.Tensor,abs,abs_op.yaml,abs,Abs,tensor_abs,tensor,mindspore.ops.api_def,abs,api_def_interface,mindspore/ops/api_def/abs.yaml,mindspore/ops/api_def/abs.yaml
mindspore.Tensor.acos::acos_ext_op.yaml,mindspore.Tensor.acos,mindspore.Tensor,acos,acos_ext_op.yaml,acos_ext,AcosExt,deprecated_tensor_acos,tensor,mindspore.ops.api_def,acos,api_def_interface,mindspore/ops/api_def/acos.yaml,mindspore/ops/api_def/acos.yaml
mindspore.Tensor.acosh::acosh_ext_op.yaml,mindspore.Tensor.acosh,mindspore.Tensor,acosh,acosh_ext_op.yaml,acosh_ext,AcoshExt,deprecated_tensor_acosh,tensor,mindspore.ops.api_def,acosh,api_def_interface,mindspore/ops/api_def/acosh.yaml,mindspore/ops/api_def/acosh.yaml
mindspore.Tensor.add::add_ext_op.yaml,mindspore.Tensor.add,mindspore.Tensor,add,add_ext_op.yaml,add_ext,AddExt,tensor_add_ext,"tensor, function",mindspore.ops.api_def,add,api_def_interface,mindspore/ops/api_def/add.yaml,mindspore/ops/api_def/add.yaml
mindspore.Tensor.add::add_scalar_op.yaml,mindspore.Tensor.add,mindspore.Tensor,add,add_scalar_op.yaml,add_scalar,AddScalar,tensor_add_ext,"tensor, function",mindspore.ops.api_def,add,api_def_interface,mindspore/ops/api_def/add.yaml,mindspore/ops/api_def/add.yaml
mindspore.Tensor.add_::inplace_add_ext_op.yaml,mindspore.Tensor.add_,mindspore.Tensor,add_,inplace_add_ext_op.yaml,inplace_add_ext,InplaceAddExt,tensor_add_ext,tensor,mindspore.ops.api_def,add_,api_def_interface,mindspore/ops/api_def/add_.yaml,mindspore/ops/api_def/add_.yaml
mindspore.Tensor.add_::inplace_adds_ext_op.yaml,mindspore.Tensor.add_,mindspore.Tensor,add_,inplace_adds_ext_op.yaml,inplace_adds_ext,InplaceAddsExt,tensor_add_ext,tensor,mindspore.ops.api_def,add_,api_def_interface,mindspore/ops/api_def/add_.yaml,mindspore/ops/api_def/add_.yaml
mindspore.Tensor.addbmm::addbmm_op.yaml,mindspore.Tensor.addbmm,mindspore.Tensor,addbmm,addbmm_op.yaml,addbmm,Addbmm,tensor_addbmm,tensor,mindspore.ops.api_def,addbmm,api_def_interface,mindspore/ops/api_def/addbmm.yaml,mindspore/ops/api_def/addbmm.yaml
mindspore.Tensor.addcdiv::addcdiv_ext_op.yaml,mindspore.Tensor.addcdiv,mindspore.Tensor,addcdiv,addcdiv_ext_op.yaml,addcdiv_ext,AddcdivExt,tensor_addcdiv_ext,"tensor, function",mindspore.ops.api_def,addcdiv,api_def_interface,mindspore/ops/api_def/addcdiv.yaml,mindspore/ops/api_def/addcdiv.yaml
mindspore.Tensor.addmm::addmm_op.yaml,mindspore.Tensor.addmm,mindspore.Tensor,addmm,addmm_op.yaml,addmm,Addmm,tensor_addmm,tensor,mindspore.ops.api_def,addmm,api_def_interface,mindspore/ops/api_def/addmm.yaml,mindspore/ops/api_def/addmm.yaml
mindspore.Tensor.addmv::addmv_op.yaml,mindspore.Tensor.addmv,mindspore.Tensor,addmv,addmv_op.yaml,addmv,Addmv,tensor_addmv,tensor,mindspore.ops.api_def,addmv,api_def_interface,mindspore/ops/api_def/addmv.yaml,mindspore/ops/api_def/addmv.yaml
mindspore.Tensor.all::reduce_all_op.yaml,mindspore.Tensor.all,mindspore.Tensor,all,reduce_all_op.yaml,reduce_all,ReduceAll,tensor_all,tensor,mindspore.ops.api_def,all,api_def_interface,mindspore/ops/api_def/all.yaml,mindspore/ops/api_def/all.yaml
mindspore.Tensor.argmax::argmax_ext_op.yaml,mindspore.Tensor.argmax,mindspore.Tensor,argmax,argmax_ext_op.yaml,argmax_ext,ArgMaxExt,tensor_argmax,tensor,mindspore.ops.api_def,argmax,api_def_interface,mindspore/ops/api_def/argmax.yaml,mindspore/ops/api_def/argmax.yaml
mindspore.Tensor.argmin::argmin_ext_op.yaml,mindspore.Tensor.argmin,mindspore.Tensor,argmin,argmin_ext_op.yaml,argmin_ext,ArgMinExt,tensor_argmin,tensor,mindspore.ops.api_def,argmin,api_def_interface,mindspore/ops/api_def/argmin.yaml,mindspore/ops/api_def/argmin.yaml
mindspore.Tensor.argsort::argsort_op.yaml,mindspore.Tensor.argsort,mindspore.Tensor,argsort,argsort_op.yaml,argsort,ArgSort,tensor_argsort,tensor,mindspore.ops.api_def,argsort,api_def_interface,mindspore/ops/api_def/argsort.yaml,mindspore/ops/api_def/argsort.yaml
mindspore.Tensor.asin::asin_ext_op.yaml,mindspore.Tensor.asin,mindspore.Tensor,asin,asin_ext_op.yaml,asin_ext,AsinExt,deprecated_tensor_asin,tensor,mindspore.ops.api_def,asin,api_def_interface,mindspore/ops/api_def/asin.yaml,mindspore/ops/api_def/asin.yaml
