entry_id,public_api,public_surface,public_name,entry_type,source_type,source_path
mindspore.Tensor.__mod__,mindspore.Tensor.__mod__,mindspore.Tensor,__mod__,overload,api_def,mindspore/ops/api_def/__mod__.yaml
mindspore.Tensor.abs,mindspore.Tensor.abs,mindspore.Tensor,abs,single,api_def,mindspore/ops/api_def/abs.yaml
mindspore.Tensor.acos,mindspore.Tensor.acos,mindspore.Tensor,acos,single,api_def,mindspore/ops/api_def/acos.yaml
mindspore.Tensor.acosh,mindspore.Tensor.acosh,mindspore.Tensor,acosh,single,api_def,mindspore/ops/api_def/acosh.yaml
mindspore.Tensor.add,mindspore.Tensor.add,mindspore.Tensor,add,overload,api_def,mindspore/ops/api_def/add.yaml
mindspore.Tensor.add_,mindspore.Tensor.add_,mindspore.Tensor,add_,overload,api_def,mindspore/ops/api_def/add_.yaml
mindspore.Tensor.addbmm,mindspore.Tensor.addbmm,mindspore.Tensor,addbmm,single,api_def,mindspore/ops/api_def/addbmm.yaml
mindspore.Tensor.addcdiv,mindspore.Tensor.addcdiv,mindspore.Tensor,addcdiv,single,api_def,mindspore/ops/api_def/addcdiv.yaml
mindspore.Tensor.addcmul,mindspore.Tensor.addcmul,mindspore.Tensor,addcmul,single,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.addmm,mindspore.Tensor.addmm,mindspore.Tensor,addmm,single,api_def,mindspore/ops/api_def/addmm.yaml
mindspore.Tensor.addmm_,mindspore.Tensor.addmm_,mindspore.Tensor,addmm_,single,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.addmv,mindspore.Tensor.addmv,mindspore.Tensor,addmv,single,api_def,mindspore/ops/api_def/addmv.yaml
mindspore.Tensor.addr,mindspore.Tensor.addr,mindspore.Tensor,addr,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.adjoint,mindspore.Tensor.adjoint,mindspore.Tensor,adjoint,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.all,mindspore.Tensor.all,mindspore.Tensor,all,single,api_def,mindspore/ops/api_def/all.yaml
mindspore.Tensor.amax,mindspore.Tensor.amax,mindspore.Tensor,amax,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.amin,mindspore.Tensor.amin,mindspore.Tensor,amin,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.aminmax,mindspore.Tensor.aminmax,mindspore.Tensor,aminmax,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.angle,mindspore.Tensor.angle,mindspore.Tensor,angle,single,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.any,mindspore.Tensor.any,mindspore.Tensor,any,overload,api_def,mindspore/ops/api_def/any.yaml
mindspore.Tensor.approximate_equal,mindspore.Tensor.approximate_equal,mindspore.Tensor,approximate_equal,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.argmax,mindspore.Tensor.argmax,mindspore.Tensor,argmax,single,api_def,mindspore/ops/api_def/argmax.yaml
mindspore.Tensor.argmax_with_value,mindspore.Tensor.argmax_with_value,mindspore.Tensor,argmax_with_value,overload,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.argmin,mindspore.Tensor.argmin,mindspore.Tensor,argmin,single,api_def,mindspore/ops/api_def/argmin.yaml
mindspore.Tensor.argmin_with_value,mindspore.Tensor.argmin_with_value,mindspore.Tensor,argmin_with_value,overload,tensor_class,mindspore/python/mindspore/common/tensor.py
mindspore.Tensor.argsort,mindspore.Tensor.argsort,mindspore.Tensor,argsort,single,api_def,mindspore/ops/api_def/argsort.yaml
mindspore.Tensor.argwhere,mindspore.Tensor.argwhere,mindspore.Tensor,argwhere,composite,tensor_class,mindspore/python/mindspore/common/tensor.py
