edge_id,entry_id,unit_id,edge_type,dispatch_order,resolver_type,resolver_path,match_condition,target_symbol
mindspore.Tensor.__mod__::overload::RemainderTensorTensor::0,mindspore.Tensor.__mod__,branch::remainder_tensor_tensor_op.yaml::RemainderTensorTensor,overload,0,py_method,mindspore/ops/api_def/__mod__.yaml,,deprecated_tensor_mod
mindspore.Tensor.__mod__::overload::RemainderTensorScalar::1,mindspore.Tensor.__mod__,branch::remainder_tensor_scalar_op.yaml::RemainderTensorScalar,overload,1,py_method,mindspore/ops/api_def/__mod__.yaml,,deprecated_tensor_mod
mindspore.Tensor.abs::direct::Abs::0,mindspore.Tensor.abs,branch::abs_op.yaml::Abs,direct,0,py_method,mindspore/ops/api_def/abs.yaml,,tensor_abs
mindspore.Tensor.add::direct::AddExt::0,mindspore.Tensor.add,branch::add_ext_op.yaml::AddExt,direct,0,py_method,mindspore/ops/api_def/add.yaml,,tensor_add_ext
mindspore.Tensor.add_::overload::InplaceAddExt::0,mindspore.Tensor.add_,branch::inplace_add_ext_op.yaml::InplaceAddExt,overload,0,py_method,mindspore/ops/api_def/add_.yaml,,tensor_add_ext
mindspore.Tensor.add_::overload::InplaceAddsExt::1,mindspore.Tensor.add_,branch::inplace_adds_ext_op.yaml::InplaceAddsExt,overload,1,py_method,mindspore/ops/api_def/add_.yaml,,tensor_add_ext
mindspore.Tensor.addbmm::direct::Addbmm::0,mindspore.Tensor.addbmm,branch::addbmm_op.yaml::Addbmm,direct,0,py_method,mindspore/ops/api_def/addbmm.yaml,,tensor_addbmm
mindspore.Tensor.addcdiv::direct::AddcdivExt::0,mindspore.Tensor.addcdiv,branch::addcdiv_ext_op.yaml::AddcdivExt,direct,0,py_method,mindspore/ops/api_def/addcdiv.yaml,,tensor_addcdiv_ext
mindspore.Tensor.addcmul::composite::addcmul::0,mindspore.Tensor.addcmul,composite::ops/function/math_func.py::addcmul,composite,0,tensor_registry,mindspore/python/mindspore/ops/functional.py,,addcmul
mindspore.Tensor.addmm::direct::Addmm::0,mindspore.Tensor.addmm,branch::addmm_op.yaml::Addmm,direct,0,py_method,mindspore/ops/api_def/addmm.yaml,,tensor_addmm
mindspore.Tensor.addmm_::direct::InplaceAddmm::0,mindspore.Tensor.addmm_,branch::inplace_addmm_op.yaml::InplaceAddmm,direct,0,tensor_registry,mindspore/python/mindspore/ops/functional.py,,inplace_addmm_op
mindspore.Tensor.addmv::direct::Addmv::0,mindspore.Tensor.addmv,branch::addmv_op.yaml::Addmv,direct,0,py_method,mindspore/ops/api_def/addmv.yaml,,tensor_addmv
