graph_edge_id,parent_unit_id,child_ref_type,child_ref,call_order,condition,via_symbol,via_path
aminmax::public_api::min::0,composite::ops/function/array_func.py::aminmax,public_api,mindspore.ops.min,0,axis is None,min,mindspore/python/mindspore/ops/function/array_func.py
aminmax::public_api::max::1,composite::ops/function/array_func.py::aminmax,public_api,mindspore.ops.max,1,axis is None,max,mindspore/python/mindspore/ops/function/array_func.py
aminmax::unit::reshape::2,composite::ops/function/array_func.py::aminmax,unit,branch::reshape_op.yaml::Reshape,2,axis is None and keepdims is True,reshape,mindspore/python/mindspore/ops/function/array_func.py
aminmax::unit::argmin_with_value_op::3,composite::ops/function/array_func.py::aminmax,unit,branch::argmin_with_value_op.yaml::ArgMinWithValue,3,axis is not None,argmin_with_value_op,mindspore/python/mindspore/ops/function/array_func.py
aminmax::unit::argmax_with_value_op::4,composite::ops/function/array_func.py::aminmax,unit,branch::argmax_with_value_op.yaml::ArgMaxWithValue,4,axis is not None,argmax_with_value_op,mindspore/python/mindspore/ops/function/array_func.py
diagflat::unit::diag::0,composite::ops/function/array_func.py::diagflat,unit,branch::diag_ext_op.yaml::DiagExt,0,not (input.size == 0),diag,mindspore/python/mindspore/ops/function/array_func.py
diagflat::unit::zeros::1,composite::ops/function/array_func.py::diagflat,unit,branch::zeros_op.yaml::Zeros,1,not (input.size == 0) and offset != 0,zeros,mindspore/python/mindspore/ops/function/array_func.py
diagflat::unit::cat::2,composite::ops/function/array_func.py::diagflat,unit,branch::concat_op.yaml::Concat,2,not (input.size == 0) and offset != 0 and offset < 0,cat,mindspore/python/mindspore/ops/function/array_func.py
diagflat::unit::cat::3,composite::ops/function/array_func.py::diagflat,unit,branch::concat_op.yaml::Concat,3,not (input.size == 0) and offset != 0 and not (offset < 0),cat,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::_check_is_tensor::0,composite::ops/function/array_func.py::diagonal_scatter,unit,composite::ops/function/array_func.py::_check_is_tensor,0,,_check_is_tensor,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::_check_diagonal_scatter_shape::1,composite::ops/function/array_func.py::diagonal_scatter,unit,composite::ops/function/array_func.py::_check_diagonal_scatter_shape,1,,_check_diagonal_scatter_shape,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::zeros::2,composite::ops/function/array_func.py::diagonal_scatter,unit,branch::zeros_op.yaml::Zeros,2,not (m == n),zeros,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::concat::3,composite::ops/function/array_func.py::diagonal_scatter,unit,composite::ops/function/array_func.py::concat,3,not (m == n),concat,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::zeros::4,composite::ops/function/array_func.py::diagonal_scatter,unit,branch::zeros_op.yaml::Zeros,4,not (m == n) and src.shape != input_diag.shape,zeros,mindspore/python/mindspore/ops/function/array_func.py
diagonal_scatter::unit::concat::5,composite::ops/function/array_func.py::diagonal_scatter,unit,composite::ops/function/array_func.py::concat,5,not (m == n) and src.shape != input_diag.shape,concat,mindspore/python/mindspore/ops/function/array_func.py
fold::unit::_check_fold_param::0,composite::ops/function/array_func.py::fold,unit,composite::ops/function/array_func.py::_check_fold_param,0,,_check_fold_param,mindspore/python/mindspore/ops/function/array_func.py
fold::unit::shape::1,composite::ops/function/array_func.py::fold,unit,branch::shape_op.yaml::Shape,1,,shape,mindspore/python/mindspore/ops/function/array_func.py
fold::unit::reshape::2,composite::ops/function/array_func.py::fold,unit,branch::reshape_op.yaml::Reshape,2,,reshape,mindspore/python/mindspore/ops/function/array_func.py
is_nonzero::unit::squeeze::0,composite::ops/function/array_func.py::is_nonzero,unit,branch::squeeze_op.yaml::Squeeze,0,,squeeze,mindspore/python/mindspore/ops/function/array_func.py
max::unit::_init_and_select_elem::0,composite::ops/function/array_func.py::max,unit,composite::ops/function/array_func.py::_init_and_select_elem,0,not (not input.shape) and axis is not None,_init_and_select_elem,mindspore/python/mindspore/ops/function/array_func.py
max::unit::argmax_with_value_op::1,composite::ops/function/array_func.py::max,unit,branch::argmax_with_value_op.yaml::ArgMaxWithValue,1,not (not input.shape) and axis is not None,argmax_with_value_op,mindspore/python/mindspore/ops/function/array_func.py
min::unit::_init_and_select_elem::0,composite::ops/function/array_func.py::min,unit,composite::ops/function/array_func.py::_init_and_select_elem,0,not (not input.shape) and axis is not None,_init_and_select_elem,mindspore/python/mindspore/ops/function/array_func.py
min::unit::argmin_with_value_op::1,composite::ops/function/array_func.py::min,unit,branch::argmin_with_value_op.yaml::ArgMinWithValue,1,not (not input.shape) and axis is not None,argmin_with_value_op,mindspore/python/mindspore/ops/function/array_func.py
