unit_id,unit_type,unit_name,display_id,op,primitive,yaml_path,impl_path,impl_symbol,compat_source,dispatch_enable,dispatch_type,dispatch_ascend,aclnn,infer,pyboost,kbk,bprop,bprop_units,direct_aclnn,direct_infer,direct_pyboost,direct_kbk,direct_bprop,leaf_units
branch::a_cos_grad_op.yaml::ACosGrad,branch,ACosGrad,branch::ACosGrad,a_cos_grad,ACosGrad,mindspore/ops/op_def/yaml/a_cos_grad_op.yaml,,,,false,unsupported,,[],true,false,false,true,"[""ACosGrad"", ""Mul"", ""Neg"", ""PowTensorScalar"", ""Sub""]",,,,,,
branch::abs_grad_op.yaml::AbsGrad,branch,AbsGrad,branch::AbsGrad,abs_grad,AbsGrad,mindspore/ops/op_def/yaml/abs_grad_op.yaml,,,,false,unsupported,,[],true,false,false,false,[],,,,,,
branch::abs_op.yaml::Abs,branch,Abs,branch::Abs,abs,Abs,mindspore/ops/op_def/yaml/abs_op.yaml,,,,true,auto_generate,default,"[""aclnnAbs""]",true,true,true,true,"[""Mul"", ""Sign""]",,,,,,
branch::acos_ext_op.yaml::AcosExt,branch,AcosExt,branch::AcosExt,acos_ext,AcosExt,mindspore/ops/op_def/yaml/acos_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAcos""]",true,true,true,true,"[""Mul"", ""Neg"", ""Rsqrt"", ""Square"", ""Sub""]",,,,,,
branch::acos_op.yaml::ACos,branch,ACos,branch::ACos,acos,ACos,mindspore/ops/op_def/yaml/acos_op.yaml,,,,false,unsupported,,[],true,false,false,true,"[""ACosGrad""]",,,,,,
branch::acosh_ext_op.yaml::AcoshExt,branch,AcoshExt,branch::AcoshExt,acosh_ext,AcoshExt,mindspore/ops/op_def/yaml/acosh_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAcosh""]",true,true,true,true,"[""Mul"", ""Rsqrt"", ""Square"", ""SubScalar""]",,,,,,
branch::acosh_grad_op.yaml::AcoshGrad,branch,AcoshGrad,branch::AcoshGrad,acosh_grad,AcoshGrad,mindspore/ops/op_def/yaml/acosh_grad_op.yaml,,,,false,unsupported,,[],true,false,false,true,"[""AcoshGrad"", ""Mul"", ""Muls"", ""RealDiv"", ""Tanh""]",,,,,,
branch::acosh_op.yaml::Acosh,branch,Acosh,branch::Acosh,acosh,Acosh,mindspore/ops/op_def/yaml/acosh_op.yaml,,,,false,unsupported,,[],true,false,false,true,"[""AcoshGrad""]",,,,,,
branch::adam_weight_decay_op.yaml::AdamWeightDecay,branch,AdamWeightDecay,branch::AdamWeightDecay,adam_weight_decay,AdamWeightDecay,mindspore/ops/op_def/yaml/adam_weight_decay_op.yaml,,,,false,unsupported,,[],true,false,false,false,[],,,,,,
branch::adamw_op.yaml::AdamW,branch,AdamW,branch::AdamW,adamw,AdamW,mindspore/ops/op_def/yaml/adamw_op.yaml,,,,true,customize,AdamWAscend,"[""aclnnApplyAdamWV2""]",true,true,true,false,[],,,,,,
branch::adaptive_avg_pool1d_op.yaml::AdaptiveAvgPool1D,branch,AdaptiveAvgPool1D,branch::AdaptiveAvgPool1D,adaptive_avg_pool1d,AdaptiveAvgPool1D,mindspore/ops/op_def/yaml/adaptive_avg_pool1d_op.yaml,,,,true,customize,AdaptiveAvgPool1DAscend,"[""aclnnAdaptiveAvgPool2d""]",true,true,true,true,"[""AdaptiveAvgPool2DGradExt"", ""ExpandDims"", ""Reshape""]",,,,,,
branch::adaptive_avg_pool2d_ext_op.yaml::AdaptiveAvgPool2DExt,branch,AdaptiveAvgPool2DExt,branch::AdaptiveAvgPool2DExt,adaptive_avg_pool2d_ext,AdaptiveAvgPool2DExt,mindspore/ops/op_def/yaml/adaptive_avg_pool2d_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAdaptiveAvgPool2d""]",true,true,true,true,"[""AdaptiveAvgPool2DGradExt""]",,,,,,
branch::adaptive_avg_pool2d_grad_ext_op.yaml::AdaptiveAvgPool2DGradExt,branch,AdaptiveAvgPool2DGradExt,branch::AdaptiveAvgPool2DGradExt,adaptive_avg_pool2d_grad_ext,AdaptiveAvgPool2DGradExt,mindspore/ops/op_def/yaml/adaptive_avg_pool2d_grad_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAdaptiveAvgPool2dBackward""]",true,true,true,false,[],,,,,,
branch::adaptive_avg_pool3d_ext_op.yaml::AdaptiveAvgPool3DExt,branch,AdaptiveAvgPool3DExt,branch::AdaptiveAvgPool3DExt,adaptive_avg_pool3d_ext,AdaptiveAvgPool3DExt,mindspore/ops/op_def/yaml/adaptive_avg_pool3d_ext_op.yaml,,,,true,customize,AdaptiveAvgPool3DExtAscend,"[""aclnnAdaptiveAvgPool3d"", ""aclnnMean""]",true,true,true,true,"[""AdaptiveAvgPool3DGradExt"", ""Add"", ""Sub""]",,,,,,
branch::adaptive_avg_pool3d_grad_ext_op.yaml::AdaptiveAvgPool3DGradExt,branch,AdaptiveAvgPool3DGradExt,branch::AdaptiveAvgPool3DGradExt,adaptive_avg_pool3d_grad_ext,AdaptiveAvgPool3DGradExt,mindspore/ops/op_def/yaml/adaptive_avg_pool3d_grad_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAdaptiveAvgPool3dBackward""]",true,true,true,false,[],,,,,,
branch::adaptive_max_pool1d_op.yaml::AdaptiveMaxPool1D,branch,AdaptiveMaxPool1D,branch::AdaptiveMaxPool1D,adaptive_max_pool1d,AdaptiveMaxPool1D,mindspore/ops/op_def/yaml/adaptive_max_pool1d_op.yaml,,,,true,customize,AdaptiveMaxPool1DAscend,"[""aclnnAdaptiveMaxPool2d""]",true,true,true,true,"[""AdaptiveMaxPool2DGrad"", ""ExpandDims"", ""Reshape""]",,,,,,
branch::adaptive_max_pool2d_grad_op.yaml::AdaptiveMaxPool2DGrad,branch,AdaptiveMaxPool2DGrad,branch::AdaptiveMaxPool2DGrad,adaptive_max_pool2d_grad,AdaptiveMaxPool2DGrad,mindspore/ops/op_def/yaml/adaptive_max_pool2d_grad_op.yaml,,,,true,customize,AdaptiveMaxPool2DGradAscend,"[""aclnnAdaptiveMaxPool2dBackward""]",true,true,true,false,[],,,,,,
branch::adaptive_max_pool2d_op.yaml::AdaptiveMaxPool2D,branch,AdaptiveMaxPool2D,branch::AdaptiveMaxPool2D,adaptive_max_pool2d,AdaptiveMaxPool2D,mindspore/ops/op_def/yaml/adaptive_max_pool2d_op.yaml,,,,true,customize,AdaptiveMaxPool2DAscend,"[""aclnnAdaptiveMaxPool2d""]",true,true,true,true,"[""AdaptiveMaxPool2DGrad""]",,,,,,
branch::add_ext_op.yaml::AddExt,branch,AddExt,branch::AddExt,add_ext,AddExt,mindspore/ops/op_def/yaml/add_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAdd""]",true,true,true,true,"[""Cast"", ""Muls""]",,,,,,
branch::add_layer_norm_grad_op.yaml::AddLayerNormGrad,branch,AddLayerNormGrad,branch::AddLayerNormGrad,add_layer_norm_grad,AddLayerNormGrad,mindspore/ops/op_def/yaml/add_layer_norm_grad_op.yaml,,,,true,auto_generate,default,"[""aclnnAddLayerNormGrad""]",true,true,true,false,[],,,,,,
branch::add_layernorm_v2_op.yaml::AddLayerNormV2,branch,AddLayerNormV2,branch::AddLayerNormV2,add_layernorm_v2,AddLayerNormV2,mindspore/ops/op_def/yaml/add_layernorm_v2_op.yaml,,,,true,customize,AddLayerNormAscend,"[""aclnnAddLayerNorm""]",true,true,true,true,"[""AddLayerNormGrad"", ""Equal"", ""Mul"", ""Shape"", ""Zeros""]",,,,,,
branch::add_op.yaml::Add,branch,Add,branch::Add,add,Add,mindspore/ops/op_def/yaml/add_op.yaml,,,,true,customize,AddAscend,"[""aclnnAdd""]",true,true,true,true,[],,,,,,
branch::add_rms_norm_op.yaml::AddRmsNorm,branch,AddRmsNorm,branch::AddRmsNorm,add_rms_norm,AddRmsNorm,mindspore/ops/op_def/yaml/add_rms_norm_op.yaml,,,,true,customize,AddRmsNormAscend,"[""aclnnAddRmsNorm""]",true,true,true,true,"[""Cast"", ""RmsNormGrad""]",,,,,,
branch::add_scalar_op.yaml::AddScalar,branch,AddScalar,branch::AddScalar,add_scalar,AddScalar,mindspore/ops/op_def/yaml/add_scalar_op.yaml,,,,true,customize,AddScalarAscend,"[""aclnnAdds""]",true,true,true,true,"[""Mul"", ""Real""]",,,,,,
branch::addbmm_op.yaml::Addbmm,branch,Addbmm,branch::Addbmm,addbmm,Addbmm,mindspore/ops/op_def/yaml/addbmm_op.yaml,,,,true,customize,AddbmmAscend,"[""aclnnAddbmm""]",true,true,true,true,"[""BatchMatMul"", ""BroadcastTo"", ""ExpandDims""]",,,,,,
branch::addcdiv_ext_op.yaml::AddcdivExt,branch,AddcdivExt,branch::AddcdivExt,addcdiv_ext,AddcdivExt,mindspore/ops/op_def/yaml/addcdiv_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAddcdiv""]",true,true,true,true,"[""Div"", ""FillScalar"", ""Mul"", ""Muls"", ""Neg""]",,,,,,
branch::addcdiv_op.yaml::Addcdiv,branch,Addcdiv,branch::Addcdiv,addcdiv,Addcdiv,mindspore/ops/op_def/yaml/addcdiv_op.yaml,,,,false,unsupported,,[],true,false,false,true,[],,,,,,
branch::addcmul_ext_op.yaml::AddcmulExt,branch,AddcmulExt,branch::AddcmulExt,addcmul_ext,AddcmulExt,mindspore/ops/op_def/yaml/addcmul_ext_op.yaml,,,,true,auto_generate,default,"[""aclnnAddcmul""]",true,true,true,true,"[""Mul"", ""Muls""]",,,,,,
branch::addcmul_op.yaml::Addcmul,branch,Addcmul,branch::Addcmul,addcmul,Addcmul,mindspore/ops/op_def/yaml/addcmul_op.yaml,,,,false,unsupported,,[],true,false,false,true,[],,,,,,
branch::addmm_op.yaml::Addmm,branch,Addmm,branch::Addmm,addmm,Addmm,mindspore/ops/op_def/yaml/addmm_op.yaml,,,,true,customize,AddmmAscend,"[""aclnnAddmm""]",true,true,true,true,[],,,,,,
branch::addmv_op.yaml::Addmv,branch,Addmv,branch::Addmv,addmv,Addmv,mindspore/ops/op_def/yaml/addmv_op.yaml,,,,true,customize,AddmvAscend,"[""aclnnAddmv""]",true,true,true,true,"[""Mv"", ""Outer"", ""Transpose""]",,,,,,
branch::addn_op.yaml::AddN,branch,AddN,branch::AddN,addn,AddN,mindspore/ops/op_def/yaml/addn_op.yaml,,,,false,unsupported,,[],true,false,false,true,[],,,,,,
