pta_key,pta_api,overload_signature,params,returns,forward_aclnn,backward_exists,backward_aclnn,composite,preprocess_needed,custom_output_needed,refs
"torch.__ior__::(Tensor(a!) self, Scalar other)",torch.__ior__,"(Tensor(a!) self, Scalar other)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Scalar"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceBitwiseOrScalar"", ""aclnnInplaceBitwiseOrTensor""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: __ior__.Scalar(Tensor(a!) self, Scalar other) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/__Ior__KernelNpuOpApi.cpp"", ""pattern"": ""aclnnInplaceBitwiseOrScalar""}]"
"torch.__ior__::(Tensor(a!) self, Tensor other)",torch.__ior__,"(Tensor(a!) self, Tensor other)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceBitwiseOrScalar"", ""aclnnInplaceBitwiseOrTensor""]",false,[],false,true,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: __ior__.Tensor(Tensor(a!) self, Tensor other) -> Tensor(a!)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/__Ior__KernelNpuOpApi.cpp"", ""pattern"": ""aclnnInplaceBitwiseOrScalar""}]"
"torch._adaptive_avg_pool2d::(Tensor self, SymInt[2] output_size)",torch._adaptive_avg_pool2d,"(Tensor self, SymInt[2] output_size)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[2]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool2d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool2d(Tensor self, SymInt[2] output_size) -> Tensor""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AdaptiveAvgPool2dKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAdaptiveAvgPool2d""}]"
"torch._adaptive_avg_pool2d_backward::(Tensor grad_output, Tensor self)",torch._adaptive_avg_pool2d_backward,"(Tensor grad_output, Tensor self)","[{""name"": ""grad_output"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool2dBackward""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool2d_backward(Tensor grad_output, Tensor self) -> Tensor""}]"
"torch._adaptive_avg_pool3d::(Tensor self, SymInt[3] output_size)",torch._adaptive_avg_pool3d,"(Tensor self, SymInt[3] output_size)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""output_size"", ""type"": ""SymInt[3]"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool3d""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool3d(Tensor self, SymInt[3] output_size) -> Tensor""}]"
"torch._adaptive_avg_pool3d_backward::(Tensor grad_output, Tensor self)",torch._adaptive_avg_pool3d_backward,"(Tensor grad_output, Tensor self)","[{""name"": ""grad_output"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAdaptiveAvgPool3dBackward""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _adaptive_avg_pool3d_backward(Tensor grad_output, Tensor self) -> Tensor""}]"
"torch._add_relu::(Tensor self, Tensor other, *, Scalar alpha=1)",torch._add_relu,"(Tensor self, Tensor other, *, Scalar alpha=1)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}]","[{""name"": ""output"", ""type"": ""Tensor""}]","[""aclnnAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor""}]"
"torch._add_relu::(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out)",torch._add_relu,"(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out)","[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}, {""name"": ""out"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu.out(Tensor self, Tensor other, *, Scalar alpha=1, Tensor(a!) out) -> Tensor(a!)""}]"
"torch._add_relu::(Tensor(a!) self, Tensor other, *, Scalar alpha=1)",torch._add_relu,"(Tensor(a!) self, Tensor other, *, Scalar alpha=1)","[{""name"": ""self"", ""type"": ""Tensor(a!)"", ""required"": true, ""default"": null}, {""name"": ""other"", ""type"": ""Tensor"", ""required"": true, ""default"": null}, {""name"": ""alpha"", ""type"": ""Scalar"", ""required"": false, ""default"": 1}]","[{""name"": ""output"", ""type"": ""Tensor(a!)""}]","[""aclnnInplaceAddRelu""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _add_relu_.Tensor(Tensor(a!) self, Tensor other, *, Scalar alpha=1) -> Tensor(a!)""}]"
torch._aminmax::(Tensor self),torch._aminmax,(Tensor self),"[{""name"": ""self"", ""type"": ""Tensor"", ""required"": true, ""default"": null}]","[{""name"": ""output0"", ""type"": ""Tensor""}, {""name"": ""output1"", ""type"": ""Tensor""}]","[""aclnnAminmaxAll""]",false,[],false,false,false,"[{""role"": ""forward_signature"", ""path"": ""op-plugin/op_plugin/config/op_plugin_functions.yaml"", ""pattern"": ""func: _aminmax(Tensor self) -> (Tensor, Tensor)""}, {""role"": ""forward_logic"", ""path"": ""op-plugin/op_plugin/ops/opapi/AminmaxKernelNpuOpApi.cpp"", ""pattern"": ""aclnnAminmaxAll""}]"
